Text,label
play this war of mine for free until sunday at 1pm pacific time you can also pickup this war of mine at 70 off the regular price  if you already have steam installed  click here to install or play this war of mine if you do nt have steam  you can download it here discount offer ends monday at 10am pacific time,steam
minit is now available on steam  minit is a peculiar little adventure played sixty seconds at a time,steam
today s deal save 15 on full metal furies  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends thursday at 10am pacific time,steam
the elder scrolls v skyrim vr is now available on steam  a true  full length open world game for vr has arrived from bethesda game studios skyrim vr reimagines the complete epic fantasy masterpiece with an unparalleled sense of scale  depth  and immersion skyrim vr also includes all official add ons,steam
today s deal save 50 on expeditions viking  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends wednesday at 10am pacific time,steam
today s deal save 66 on epistory typing chronicles  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends tuesday at 10am pacific time,steam
today s deal save 50 on doom  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends monday at 10am pacific time,steam
today s deal save 34 on hollow knight  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends monday at 10am pacific time,steam
today s deal save 50 on human fall flat  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends monday at 10am pacific time,steam
airmech strike has left early access on steam  in celebration of the release of airmech strike  all airmech games are now on sale on steam as well  airmech strike is a fast paced action rts game that can be played online competitively or cooperatively earn kudos and experience in battle and unlock a wide collection of airmechs and units while you practice the perfect strategy to emerge victorious,steam
pixark is now available on steam early access and is 20 off  enter a world of mystery  danger  ancient dinosaurs  mythical beasts  and cubes  work by yourself or with a tribe of others to gather materials  craft useful items  tame wild creatures  and build huge bases to survive in pixark  offer ends april 3 at 10am pacific time,steam
today s deal save 70 on sherlock holmes the devil s daughter  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends thursday at 10am pacific time,steam
save 40 on slime rancher during this week s midweek madness  offer ends friday at 10 am pacific time,steam
save 75 on warhammer 40  000 dawn of war franchise during this week s midweek madness  offer ends thursday at 4pm pacific time,steam
save 20 on themultiplayer party pack during this week s midweek madness  includes duck game  move or die  ultimate chicken horse  inversus deluxe  and stick fight the game offer ends thursday at 4pm pacific time,steam
mx vs atv all out is now available on steam and is 10 off  all terrain  all vehicles  all you  mx vs atv all out is the complete off road racing and lifestyle experience  find your rider style at your private compound  free ride across massive environments  and compete in the best series events  offer ends april 3 at 10am pacific time,steam
blender character rigging for beginners hd is now available on steam  blender character rigging for beginners hd is a video tutorial series by riven phoenix that takes the art student through a step by step process in rigging a high quality 3d human character from scratch using blender s powerful rigging features,steam
today s deal save 50 on furi  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends friday at 10am pacific time,steam
lego the incredibles is now available for pre purchase on steam  pre purchase now and get early access to the parr family vacation character pack  experience the thrilling adventures of the parr family as they conquer crime and family life through both disney pixar films the incredibles and the incredibles 2  in a lego world full of fun and humor,steam
jurassic world evolution is now available for pre purchase on steam  pre purchase now and receive an exclusive skin for the acu helicopter and the ranger vehicle,steam
jalopy is now available on steam and is 40 off  build  repair  refuel and drive a dilapidated old car on a grand journey through the territories of the former eastern bloc explore germany  csfr  hungary  yugoslavia and bulgaria offer ends april 4 at 10am pacific time,steam
today s deal save 50 on ken follett s the pillars of the earth  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends saturday at 10am pacific time,steam
save 60 on killing floor 2 and 80 off killing floor as part of this week s weekend deal  offer ends monday at 10am pacific time,steam
get up to 75 off your favorite lego titles as part of this week s weekend deal  offer ends monday at 10am pacific time,steam
today s deal save 75 on mordheim city of the damned  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends sunday at 10am pacific time,steam
today s deal save 50 on x morph defense  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends wednesday at 10am pacific time,steam
robocraft royale is now available on steam early access  100 players  100 crazy rides  mecha  tanks  dinosaurs  helicopters  jet fighters  monster trucks  you drive them  you fight with them in an epic fight for survival with only one winner,steam
today s deal save 66 on yooka laylee  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends tuesday at 10am pacific time,steam
today s deal save 60 on blood bowl 2  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends monday at 10am pacific time,steam
play f1 2017 for free starting now through sunday at 1pm pacific time you can also pickup f1 2017 at 70 off the regular price  if you already have steam installed  click here to install or play f1 2017 if you do nt have steam  you can download it here offer ends monday at 10am pacific time,steam
ni no kuni ii revenant kingdom is now available on steam  join the young king evan as he sets out on an epic quest to found a new kingdom and  with the help of some new friends  unite his world  saving its people from a terrible evil,steam
today s deal save 55 on inside and 80 on limbo  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends sunday at 10am pacific time,steam
save up to 75 on ubisoft games as part of this week s weekend deal  offer ends monday at 10 am pacific,steam
today s deal save 65 on monkey island 2 special edition lechuck s revenge  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends saturday at 10am pacific time,steam
play the elder scrolls online for free starting now through march 28th at 10pm pacific time you can also pickup the elder scrolls online at 33 off the regular price  if you already have steam installed  click here to install or play the elder scrolls online if you do nt have steam  you can download it here offer ends march 28th at 10am pacific time,steam
save 50 on football manager 2018 and football manager touch 2018  75 on eastside hockey manager and motorsport manager as part of this week s weekend deal  offer ends monday at 10am pacific time,steam
out of the park baseball 19 is now available on steam and is 10 off  out of the park baseball 19 officially licensed by mlb and the mlbpa is the newest entry in the world s best rated sports strategy game franchise  guide your favorite mlb franchise to glory  play any historical season or create a fictional baseball world a baseball fan s dream come true  offer ends march 29 at 10am pacific time,steam
masters of anima is now available for pre purchase on steam and is 10 off  masters of anima is an original adventure game that takes you deep into the magical world of spark battle against the forces of evil in strategic  action packed battles  where making tactical decisions quickly is vital summon and control large armies of up to 100 guardians  thanks to intuitive and innovative gameplay made from the ground up for controller play  as well as keyboard and mouse,steam
the elder scrolls online summerset is now available for pre purchase on steam join over 10 million players in the award winning online multiplayer rpg and experience limitless adventure in a persistent elder scrolls world be part of an ever expanding story across tamriel and travel to the stunning home of the high elves to save the world from destruction in the latest chapter of eso pre purchase today to immediately receive the morrowind chapter and nightmare senche mount  along with the queen s bounty pack at launch  you can also try the elder scrolls online for free until 10am pacific on 3 28  if you already have steam installed  click here to install or play the elder scrolls online if you do nt have steam  you can download it here,steam
today s deal save 75 on grim dawn  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends friday at 10am pacific time,steam
save on a variety of nominated games from the igf and gdc awards as a part of this week s midweek madness  check out a wide variety of games  ranging from uurnog uurnlimited and a mortician s tale to cuphead and resident evil 7  discount offers end thursday  march 22nd,steam
save 75 on europa universalis iv during this week s midweek madness  offer ends friday at 10am pacific time,steam
today s deal save 50 on battle brothers  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends thursday at 10am pacific time,steam
save 66 on mortal kombat xl during this week s midweek madness  offer ends friday at 10am pacific time,steam
octahedron is now available on steam and is 25 off  surf through a pulsating  underground world on platforms pulled from thin air in this challenging psychedelic action platformer that has you defying gravity to a pumping beat offer ends march 27 at 10am pacific time,steam
apex construct is now available on steam  travel to the shattered future of apex construct  where merciless robots prowl the world as a result of mankind s reckless experiments as these synthetic creatures seek to dominate their new hunting grounds  you must use both your wits and combat skills to survive in this atmospheric first person action adventure game  built exclusively for vr  the fate of mankind rests on you the last human alive,steam
the 1st annual gdc film festival  sponsored by steam  is happening now through wednesday  march 21st at the game developers conference 2018 to celebrate the inaugural film festival many of the entries are currently available at special prices on steam now or available to stream free,steam
today s deal save 50 on oneshot  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends wednesday at 10am pacific time,steam
today s deal save 35 on steamworld dig 2  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends tuesday at 10am pacific time,steam
today s deal save 40 on foxhole  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends monday at 10am pacific time,steam
today s deal save 70 on poly bridge  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends sunday at 10am pacific time,steam
wargames is now available on steam and is 20 off  wargames is a new interactive show from sam barlow you shape the story as kelly  aka l1ghtman  and her clan of misfit hackers transform from pranksters to international hacker celebrities  taking on the powers that be under the handle wargames offer ends march 21 at 10am pacific time,steam
payday 2 vr is now available on steam  step into the world of a heister  payday 2 vr is the full payday 2 experience  where you really get a sense of every cop  dozer  cloaker and medic closing in on you payday 2 vr is free to all payday 2 owners,steam
save big on the call of duty franchise as part of this week s weekend deal  introducing two new steam complete the set bundles the call of duty franchise collection and the activision collection  which provide extra discounts and make it easy to upgrade if you already own any of the included games offer ends monday at 10am pacific time,steam
surviving mars is now available on steam  there will be challenges to overcome execute your strategy and improve your colony s chances of survival while unlocking the mysteries of this alien world are you ready  mars is waiting for you,steam
today s deal save 60 on obduction  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends saturday at 10am pacific time,steam
attack on titan 2 a o t 2 is now available on steam  abandon all fear attack on titan 2 is the gripping sequel to the action game based on the worldwide hit anime series attack on titan note interfaces and subtitles for english  french  german  italian  and spanish will be available on march 20th,steam
the making of horizon zero dawn is now available to watch on steam  how does a studio known for linear first person shooters design one of the most well regarded open world games of the generation on their first attempt  noclip travels to amsterdam to talk to guerrilla about their epic journey bringing horizon zero dawn to playstation 4,steam
the american dream is now available on steam and is 15 off  look down the barrel of a future where all your everyday needs are solved with guns samurai punk presents the american dream  a satirical virtual reality trip through a 1950 s world s fair where you learn to live your life with guns offer ends march 21 at 10am pacific time,steam
today s deal save 50 on the lego ninjago movie video game  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends friday at 10am pacific time,steam
the elder scrolls v skyrim vr is now available for pre purchase on steam a true  full length open world game for vr has arrived from award winning developers  bethesda game studios skyrim vr reimagines the complete epic fantasy masterpiece with an unparalleled sense of scale  depth  and immersion from battling ancient dragons to exploring rugged mountains and more  skyrim vr brings to life a complete open world for you to experience any way you choose skyrim vr includes the critically acclaimed core game and official add ons dawnguard  hearthfire  and dragonborn,steam
today s update unveils dota plus  a new monthly subscription service designed to help you get the most out of every dota 2 match you play dota plus is an evolution of the battle pass in the past we released two types of battle passes  ones that revolved around the majors  and one around the international as a result of the recent introduction of the pro circuit  we ve replaced the majors battle passes with a new type of service that does nt depend on a specific start and end date  and one that we can continually add features and content to over time this reimagining of the majors battle pass will be an ongoing  uninterrupted service filled with features that provide both progression and opportunities for improvement hero leveling offers you a way to make progress every match while earning shards  a new currency that can be used to unlock rewards test your skills by completing hundreds of new challenges of varying difficulties use the plus assistant to help you make build decisions by utilizing real time item and ability suggestions these suggestions are based on data gathered from millions of recent games at each skill bracket  ensuring your builds stay current in the ever evolving meta better understand your playstyle by using new graphs and analysis tools both during the match and after it s finished this update also includes the return of the battle cup all dota plus members will have free weekly access to play in the weekend tournaments  while non members can still purchase tickets for 0 99 to participate everything dota plus has to offer is available now for 3 99 per month receive a discount if you sign up for a six or twelve month subscription want to gift dota plus to a friend  you can purchase gift memberships that will remain active for a fixed number of months check out the dota 2 store page for more information on all of the features included in your subscription,steam
vrfc virtual reality football club is now available on steam early access and is 30 off  take to the turf in vrfc  the world s only first person vr football game whether you struggle to hit a cow s backside with a banjo  or your idea of dribbling is something babies do  none of that matters now you can become a footballing legend in your own living room offer ends march 20 at 10am pacific time,steam
save 50 on tekken 7 during this week s midweek madness  powered by unreal engine 4  the legendary fighting game franchise fights back with stunning story driven cinematic battles and intense duels that can be enjoyed with friends and rivals offer ends friday at 10am pacific time,steam
the raven remastered is now available on steam and is 25 off  london  1964 an ancient ruby is stolen from the british museum at the crime scene a raven feather is somebody trying to follow in the footsteps of the raven  the legendary master thief who disappeared years before  offer ends march 20 at 10am pacific time,steam
save 50 on kerbal space program during this week s midweek madness  offer ends friday at 10am pacific time,steam
save 50 on farming simulator 17 during this week s midweek madness  take on the role of a modern farmer in farming simulator 17  explore farming possibilities in a new north american environment drive over 250 farming vehicles and equipment from over 75 manufacturers  including new brands such as challenger  fendt  valtra or massey ferguson offer ends friday at 10am pacific time,steam
ghost of a tale is now available on steam and is 10 off  ghost of a tale is an action rpg game in which you play as tilo  a mouse and minstrel thrown into a perilous adventure through stealth and cunning you ll be able to explore the secrets of dwindling heights keep and navigate its dangers offer ends march 20 at 10am pacific time,steam
the council is now available on steam  experience a narrative adventure where your choices and character growth truly matter as a member of a 1793 secret society  live a tale of intrigue and manipulation on the hunt for your missing mother,steam
today s deal save 33 on a hat in time  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends thursday at 10am pacific time,steam
q u b e 2 is now available on steam and is 20 off  q u b e 2 is the sequel to the hit first person puzzle game q u b e you are amelia cross  a stranded archaeologist who has awoken among the ruins of an ancient alien landscape with the distant help of another survivor you must manipulate the structure of this mysterious world and find a way back home offer ends march 20 at 10am pacific time,steam
pure farming 2018 is now available on steam  farming goes global  use the latest technology and state of the art licensed machines to manage all aspects of modern farming travel between europe  asia  and both americas to plant region specific crops such as hemp  coffee beans  and olives farm your way thanks to three unique game modes tailored to both simulation veterans and newcomers to farming games,steam
today s deal save 80 on rebel galaxy  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends wednesday at 10am pacific time,steam
today s deal save 20 on astroneer  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends march 16th at 10am pacific time,steam
today s deal save 50 on gremlins  inc  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends monday at 10am pacific time,steam
crash bandicoot n sane trilogy is now available for pre purchase on steam  your favorite marsupial  crash bandicoot  is back  he s enhanced  entranced and ready to dance with the n sane trilogy relive all your favorite moments in crash bandicoot  crash bandicoot 2 cortex strikes back and crash bandicoot 3 warped  now in fully remastered graphical glory,steam
darwin project is now available on steam early access  darwin project takes the battle royale genre up north  where an impending ice age has given rise to a twisted new reality show in which ten participants must fight to the death under the show director s gaze,steam
today s deal save 50 on rising storm 2 vietnam  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends march 16th at 10am pacific time,steam
my lovely daughter is now available on steam and is 10 off  my lovely daughter is an alchemist simulator that explores the depth of a father s grief and how far he will go to resurrect his daughter offer ends march 15 at 10am pacific time,steam
the bonfire forsaken lands is now available on steam and is 20 off  build  discover  craft and survive build your settlement in a snowy encampment  survive monster attacks and manage resources to uncover the secrets of the ancients offer ends march 16 at 10am pacific time,steam
hatsune miku vr vr is now available on steam and is 20 off  world famous virtual singer hatsune miku invites you to her vr music game  aim for the perfect score as she sings and dances to some of her most iconic songs offer ends march 15 at 10am pacific time,steam
add amnesia collection to your account permanently and play for free starting now for a limited time  the amnesia collection includes both amnesia the dark descent and amnesia a machine for pigs once you click install game both games will remain in your account after the free period  so do nt miss out on this opportunity to play these two dark survival horror games,steam
save 50 on project cars 2 as part of this week s weekend deal  the ultimate driver journey  project cars 2 delivers the soul of motor racing in the world s most beautiful  authentic  and technically advanced racing game offer ends monday at 10am pacific time,steam
save 50 on space pirate trainer as part of this week s weekend deal  offer ends monday at 10am pacific time,steam
warhammer vermintide 2 is now available on steam  the sequel to the critically acclaimed vermintide is a visually stunning and groundbreaking melee action game pushing the boundaries of the first person co op genre join the fight now,steam
today s deal save 50 on total war rome ii emperor edition  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends march 15th at 10am pacific time,steam
save up to 80 on 2kgames as part of this week s weekend deal  offer ends monday at 10am pacific time,steam
crest an indirect god sim is now available on steam  become a god in this indirect god sim influence and try to control your followers using commandments but beware  free will leaves these open to interpretation will you create a flourishing civilization or lead them into cannibalism,steam
crusaders of light is now available on steam  crusaders of light is a high quality cross platform mmorpg available on mobile  tablet  and pc with over 300 hours of gameplay  adventure together with friends in real time to defeat epic bosses and unlock legendary gear,steam
today s deal save 75 on battlefleet gothic armada  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends friday at 10am pacific time,steam
chuchel is now available on steam  chuchel is a comedy adventure game from the creators of machinarium  botanicula and samorost join the hairy hero chuchel and his rival kekel as they will be facing numerous puzzles and challenges in their quest to retrieve the precious cherry,steam
northgard is now available on steam and is 25 off  northgard is a strategy game based on norse mythology in which you control a clan of vikings vying for the control of a mysterious newfound continent offer ends march 14 at 10am pacific time,steam
save 33 on dead cells during this week s midweek madness  in this rogue lite  metroidvania action platformer  you ll explore a sprawling  ever changing castle assuming you re able to fight your way past its keepers in 2d souls lite combat no checkpoints kill  die  learn  repeat offer ends friday at 10am pacific time,steam
save 60 on the surge during this week s midweek madness  a catastrophic event has knocked you out during the first day on the job you wake up equipped with a heavy grade exoskeleton  in a destroyed section of the complex robots gone haywire  insane augmented co workers and rogue ai everything wants you dead defy deadly enemies and huge bosses in tight  visceral melee combat target and slice specific limbs off your foes  with a next gen loot system where you loot what you dismember equip  upgrade and craft new weapons and armors sliced from enemies  and make yourself stronger through a fresh take on leveling up offer ends friday at 10am pacific time,steam
today s deal save 40 on human resource machine  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends march 14th at 10am pacific time,steam
final fantasy xv windows edition is now available on steam  take the journey  now in ultimate quality boasting a wealth of bonus content and supporting ultra high resolution graphical options and hdr 10  you can now enjoy the beautiful and carefully crafted experience of final fantasy xv like never before,steam
trapper s delight is now available on steam and is 15 off  in trapper s delight players compete to construct deadly labyrinths and then try to escape in one piece lure your friends into your deadly trap in local and online multiplayer or test your skills in singleplayer challenges offer ends march 13 at 10am pacific time,steam
rocket league dc super heroes dlc pack  all new content for rocket league is now available on steam  experience the ultimate dc comics crossover as two classic bat  tle  cars from 2012 s the dark knight rises and 1989 s batman come to rocket league  also included more than 20 customization items and player banners based on superman  wonder woman  the flash and other popular characters,steam
today s deal save 50 on superflight  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends wednesday at 10am pacific time,steam
today s deal save 55 on disgaea pc pc  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends tuesday at 10am pacific time,steam
today s deal save 80 on homefront the revolution  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends monday at 10am pacific time,steam
call of duty wwii the resistance dlc pack 1 is now available on steam  continue the epic scale of war with dlc pack 1 for call of duty wwii the resistance fight in iconic locations centered around historic resistance uprisings in three new multiplayer maps  as well as an all new objective based war mode mission  operation intercept plus  experience the latest nazi zombies chapter  the darkest shore buy the season pass or digital deluxe edition to access dlc pack 1,steam
today s deal save 66 on styx shards of darkness  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends sunday at 10am pacific time,steam
pit people is now available on steam  in this fast paced  turn based  co op adventure you ll quest and explore  find awesome loot  customize your fighters  and recruit strange species  come master your destiny in this strategic game of positioning,steam
save up to 80 on square enix games as part of this week s weekend deal  offer ends monday at 10am pacific time,steam
today s deal save 30 on comedy night  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends saturday at 10am pacific time,steam
the dc franchise sale is on now  save up to 75 on great dc comics titles like injustice 2  batman arkham knight  lego batman and more  offer ends monday at 10am pacific time,steam
where the water tastes like wine is now available on steam and is 15 off  where the water tastes like wine is a narrative adventure game about traveling  sharing stories  and surviving manifest destiny offer ends march 7 at 10am pacific time,steam
warhammer vermintide 2 is now available for pre purchase on steam and is 10 off  pre purchase warhammer vermintide 2 now and receive immediate access to the beta warhammer vermintide 2 is the sequel to the critically acclaimed vermintide the time has arrived to revisit the fierce first person co op slaughter fest featuring visceral and ground breaking melee action  set in the apocalyptic end times of the war ravaged warhammer fantasy battles world offer ends march 8th at 10am pacific time,steam
today s deal save 50 on rwby grimm eclipse  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends friday at 10am pacific time,steam
h1z1 battle royale has left early access on steam  play the new game mode auto royale drive into battle as part of a 4 player vehicle of mayhem fight for power ups to equip your squad and upgrade your ride outdrive  outshoot  and outlast the competition to be the last team driving,steam
deep rock galactic is now available on steam early access  deep rock galactic is a 1 4 player co op first sci fi fps featuring badass space dwarves  100 destructible environments  procedurally generated caves  and endless hordes of alien monsters,steam
today s deal save 50 on ultimate general civil war  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends thursday at 10am pacific time,steam
save 50 on bomber crew during this week s midweek madness  offer ends friday at 10am pacific time,steam
puyo puyo tetris is now available on steam  two puzzle game juggernauts collide as global phenomenon tetris and sega s famous puyo puyo combine in a super mash up of ferocious competition  adorable looks  and addictive puzzle fun,steam
battletech is now available for pre purchase on steam  pre purchase today to receive the battletech shadowhawk pack which includes an alternate skin for the formidable shadowhawk mech plus an exclusive wallpaper  to be delivered at launch,steam
chrono trigger is now available on steam  the timeless rpg classic returns loaded with upgrades  journey to the forgotten past  to the far future  and to the end of time a big adventure to save the planet  now begins,steam
a vulkan compatible driver for macos and ios  moltenvk  is now available free of charge and open source having invested into its development for more than a year  we have sponsored the brenwill workshop to donate moltenvk for inclusion in the vulkan graphics ecosystem we ve also continued our efforts with lunarg who is today releasing a corresponding update to deliver macos support to the vulkan sdk also as a result of that work  dota 2 will be updated in the comings months to target vulkan on macos it s been almost four years since we started contributing to vulkan s goal of becoming a cross platform solution with support for windows  linux  and android crossed off the list  this latest set of updates checks off one of the largest remaining targets  giving developers an easy yet robust way to also target their vulkan based engines and titles to run on macos and ios by making the code to moltenvk freely available and open source  the goal is to enable developers to bring their games to macos and ios with minimal evelopment cost the lunarg vulkan sdk is a key component for developers targeting vulkan by providing tools such as validation layers  shader compilers  and a loader now available from lunarg  an updated vulkan sdk now offers those same tools to developers targeting macos  enabling them to efficiently develop vulkan code on the platform additionally  we exercised moltenvk with real world workloads including dota 2 and we re seeing significant performance improvements over running on opengl we encourage developers to test their engines and titles with moltenvk and the lunarg sdk and provide feedback we are committed to making vulkan a viable option for developers targeting all platforms,steam
today s deal save 66 on domina  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends wednesday at 10am pacific time,steam
today s deal save 75 on invisible  inc  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends tuesday at 10am pacific time,steam
today s deal save 50 on assetto corsa  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends monday at 10am pacific time,steam
yumenikki dream diary is now available on steam  yume nikki has been hailed as one of the greatest  and most controversial  games ever created with rpg maker the new yumenikki dream diary is not a remake  but a full reimagining of the original reconstructed and enhanced using elements and styles of modern indie games,steam
today s deal save up to 75 on dead island franchise  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends sunday at 10am pacific time,steam
save up to 80 in the rebellion publisher weekend as part of this week s weekend deal  celebrate rebellion s 25th anniversary and save on your favorite franchises like sniper elite and zombie army offer ends monday at 10am pacific time,steam
today s deal save 40 on blitzkrieg 3  look for the deals each day on the front page of steam or follow us on twitter or facebook for instant notifications wherever you are  offer ends saturday at 10am pacific time,steam
save 65 on sudden strike 4 as part of this week s weekend deal  offer ends monday at 10am pacific time,steam
